StudentID,Last Name,First Name,Email,Project group,Discipline,Coord/Shaper,Gender,ESL
40000010,Christiansen,Libbie,s4000001@student.uq.edu.au,P01,,,Male,English
40000020,Lueilwitz,Earnestine,s4000002@student.uq.edu.au,P01,Electrical,0,Male,English
40000030,Thompson,Brown,s4000003@student.uq.edu.au,P01,,,Male,English
40000040,Kirlin,Junius,s4000004@student.uq.edu.au,P01,Software,0,Male,English
40000050,Howell,Alvah,s4000005@student.uq.edu.au,P01,,,,Other
40000060,Konopelski,Brandyn,s4000006@student.uq.edu.au,P01,,,,Other
40000070,Heller,Christophe,s4000007@student.uq.edu.au,P01,Mechanical,1,Male,English
40000080,Runolfsson,Eugenia,s4000008@student.uq.edu.au,P01,Mechanical,0,Female,English
40000090,Lindgren,Deanna,s4000009@student.uq.edu.au,P01,Software,0,Male,English
40000100,Jewess,Corbin,s4000010@student.uq.edu.au,P01,Electrical,0,Male,English
40000110,Kutch,Jessica,s4000011@student.uq.edu.au,P01,Mechanical,1,Male,English
40000120,Reinger,Sofia,s4000012@student.uq.edu.au,P01,Software,0,Male,English
40000130,Tremblay,Otha,s4000013@student.uq.edu.au,P01,,,,Other
40000140,Lakin,Vita,s4000014@student.uq.edu.au,P01,Mechanical,0,Male,English
40000150,Fay,Ryley,s4000015@student.uq.edu.au,P01,Mechanical,0,Male,English
40000160,Nienow,Janelle,s4000016@student.uq.edu.au,P01,,,Female,English
40000170,Sipes,Francesco,s4000017@student.uq.edu.au,P01,Electrical,1,Female,Other
40000180,Hermann,Garry,s4000018@student.uq.edu.au,P01,Electrical,0,Male,Other
40000190,Paucek,Ethel,s4000019@student.uq.edu.au,P01,,,Female,Other
40000200,Zemlak,Trevion,s4000020@student.uq.edu.au,P01,Mechatronic,0,Male,Other
40000210,Abernathy,Hugh,s4000021@student.uq.edu.au,P01,Electrical,1,Male,English
40000220,Abernathy,Warren,s4000022@student.uq.edu.au,P01,Electrical,0,Male,English
40000230,Kerluke,Chester,s4000023@student.uq.edu.au,P01,Mechatronic,0,Male,English
40000240,McLaughlin,Jordi,s4000024@student.uq.edu.au,P01,Mechatronic,0,Male,English
40000250,Zboncak,Aliya,s4000025@student.uq.edu.au,P01,Electrical,1,Male,English
40000260,Schamberger,Cali,s4000026@student.uq.edu.au,P01,Mechatronic,1,Male,English
40000270,Davis,Tracy,s4000027@student.uq.edu.au,P01,Mechanical,0,Male,English
40000280,Brakus,Marta,s4000028@student.uq.edu.au,P01,Mechanical,0,Male,English
40000290,Pfeffer,Pauline,s4000029@student.uq.edu.au,P01,Electrical,0,Male,English
40000300,Doyle,Bill,s4000030@student.uq.edu.au,P01,Electrical,0,Male,English
40000310,Runolfsdottir,Carmine,s4000031@student.uq.edu.au,P01,Mechanical,0,Male,English
40000320,Marquardt,Madilyn,s4000032@student.uq.edu.au,P01,Electrical,1,Female,English
40000330,Breitenberg,Guiseppe,s4000033@student.uq.edu.au,P01,Mechatronic,0,Male,English
40000340,Bartell,Katrine,s4000034@student.uq.edu.au,P01,Mechanical,0,Male,English
